time,wavelength_shift_1,wavelength_shift_2
17.628,-0.5841,-0.4343
17.657,-0.586,-0.437
17.687,-0.5858,-0.4338
17.718,-0.5857,-0.4346
17.747,-0.5854,-0.4341
17.777,-0.583,-0.4335
17.806,-0.5835,-0.4332
17.836,-0.5852,-0.4351
17.869,-0.5864,-0.4354
17.894,-0.5831,-0.4358
17.924,-0.5857,-0.4365
17.953,-0.5828,-0.4343
17.984,-0.585,-0.4366
18.013,-0.5843,-0.4352
18.042,-0.5854,-0.4335
18.073,-0.5837,-0.4343
18.103,-0.5854,-0.4315
18.134,-0.5851,-0.437
18.162,-0.5837,-0.4339
18.191,-0.5875,-0.4393
18.221,-0.5842,-0.4369
18.251,-0.5904,-0.4321
18.28,-0.5835,-0.4353
18.313,-0.584,-0.4384
18.339,-0.5841,-0.4357
18.368,-0.5824,-0.4346
18.398,-0.5853,-0.4335
18.428,-0.5807,-0.4364
18.458,-0.5829,-0.4355
18.488,-0.5869,-0.4388
18.516,-0.5836,-0.4365
18.547,-0.5846,-0.4325
18.579,-0.5839,-0.4343
18.605,-0.5852,-0.4352
18.636,-0.589,-0.4375
18.666,-0.5845,-0.4363
18.694,-0.5848,-0.438
18.728,-0.5839,-0.4346
18.753,-0.5884,-0.4366
18.783,-0.5822,-0.4368
18.813,-0.5857,-0.4343
18.842,-0.585,-0.4339
18.872,-0.5841,-0.4358
18.902,-0.5837,-0.4326
18.932,-0.5829,-0.4355
18.962,-0.5863,-0.4358
18.991,-0.5868,-0.4355
19.021,-0.5849,-0.4354
19.05,-0.5868,-0.4343
19.079,-0.586,-0.4354
19.109,-0.5857,-0.4347
19.139,-0.5884,-0.4336
19.168,-0.5884,-0.4333
19.198,-0.5854,-0.4366
19.227,-0.5838,-0.4351
19.257,-0.5866,-0.4339
19.287,-0.5849,-0.4371
19.317,-0.5857,-0.4338
19.347,-0.5825,-0.4341
19.376,-0.5869,-0.4331
19.406,-0.5859,-0.4362
19.435,-0.5891,-0.4354
19.464,-0.5876,-0.4343
19.494,-0.5839,-0.4364
19.524,-0.5868,-0.4345
19.555,-0.5868,-0.4379
19.583,-0.5866,-0.4336
19.614,-0.5833,-0.4372
19.642,-0.5858,-0.4351
19.672,-0.586,-0.4354
19.702,-0.584,-0.4374
19.731,-0.5861,-0.4378
19.761,-0.5864,-0.4354
19.79,-0.5873,-0.4343
19.82,-0.5858,-0.4363
19.85,-0.5854,-0.4344
19.888,-0.5849,-0.4347
19.91,-0.5853,-0.4367
19.94,-0.5853,-0.4384
19.969,-0.5877,-0.4349
19.998,-0.5854,-0.4386
20.028,-0.5838,-0.4379
20.057,-0.5869,-0.435
20.087,-0.5848,-0.439
20.116,-0.5843,-0.436
20.146,-0.5862,-0.4382
20.175,-0.5863,-0.4377
20.205,-0.5845,-0.4394
20.236,-0.5884,-0.4373
20.264,-0.5834,-0.4369
20.294,-0.5836,-0.4359
20.324,-0.5832,-0.4372
20.353,-0.5862,-0.4394
20.383,-0.5858,-0.4382
20.412,-0.5855,-0.4363
20.443,-0.5858,-0.4335
20.473,-0.5857,-0.4336
20.501,-0.5867,-0.4382
20.533,-0.5875,-0.4341
20.561,-0.5874,-0.4394
20.59,-0.5811,-0.4383
20.62,-0.5869,-0.4335
20.648,-0.5846,-0.438
20.68,-0.5838,-0.4347
20.709,-0.5855,-0.4362
20.738,-0.5851,-0.436
20.768,-0.5843,-0.4337
20.799,-0.5833,-0.4383
20.827,-0.5865,-0.4367
20.857,-0.5887,-0.4343
20.886,-0.5873,-0.4349
20.916,-0.5844,-0.4372
20.946,-0.5867,-0.4369
20.978,-0.5846,-0.4362
21.005,-0.5836,-0.4382
21.035,-0.5842,-0.4369
21.067,-0.5802,-0.4354
21.095,-0.5844,-0.4345
21.123,-0.5841,-0.4374
21.153,-0.584,-0.4356
21.183,-0.5844,-0.4352
21.212,-0.5854,-0.4351
21.242,-0.5851,-0.4353
21.273,-0.5884,-0.4365
21.301,-0.5839,-0.4338
21.331,-0.5869,-0.4366
21.36,-0.5835,-0.4388
21.39,-0.5846,-0.439
21.419,-0.5867,-0.435
21.448,-0.5885,-0.4363
21.478,-0.5848,-0.4342
21.508,-0.5844,-0.4373
21.537,-0.5872,-0.4363
21.568,-0.5835,-0.4349
21.599,-0.586,-0.4368
21.627,-0.5866,-0.4354
21.657,-0.5827,-0.4387
21.687,-0.5877,-0.4357
21.716,-0.584,-0.4346
21.749,-0.5862,-0.4347
21.775,-0.5864,-0.4381
21.804,-0.5846,-0.4382
21.834,-0.5909,-0.4355
21.863,-0.586,-0.4387
21.893,-0.5854,-0.4356
21.923,-0.5864,-0.4378
21.953,-0.588,-0.4355
21.983,-0.5833,-0.4382
22.012,-0.5865,-0.4383
22.042,-0.5849,-0.4364
22.072,-0.5842,-0.4357
22.101,-0.5884,-0.4366
22.13,-0.5838,-0.4369
22.16,-0.5861,-0.438
22.19,-0.586,-0.4376
22.22,-0.5862,-0.4359
22.249,-0.5832,-0.4376
22.279,-0.5853,-0.4352
22.309,-0.5851,-0.4366
22.338,-0.584,-0.4359
22.367,-0.5869,-0.4361
22.396,-0.5833,-0.4357
22.426,-0.5823,-0.4398
22.457,-0.5877,-0.4374
22.487,-0.5879,-0.4385
22.517,-0.5862,-0.4363
22.546,-0.5808,-0.4376
22.575,-0.5854,-0.4394
22.608,-0.5871,-0.4372
22.634,-0.584,-0.4367
22.664,-0.5871,-0.4348
22.694,-0.5837,-0.437
22.722,-0.587,-0.4358
22.753,-0.5824,-0.435
22.783,-0.5823,-0.436
22.812,-0.5875,-0.4372
22.842,-0.5838,-0.4341
22.871,-0.5882,-0.4353
22.9,-0.5843,-0.4376
22.93,-0.5817,-0.4358
22.959,-0.5833,-0.4382
22.989,-0.5867,-0.4349
23.019,-0.5856,-0.4387
23.049,-0.5866,-0.4351
23.079,-0.587,-0.4375
23.108,-0.5867,-0.4387
23.138,-0.5849,-0.4362
23.168,-0.5832,-0.4377
23.196,-0.584,-0.4365
23.226,-0.5859,-0.4376
23.256,-0.5849,-0.438
23.285,-0.5867,-0.4368
23.315,-0.5871,-0.436
23.345,-0.5832,-0.4373
23.374,-0.5821,-0.4366
23.405,-0.5888,-0.4358
23.434,-0.5848,-0.4396
23.463,-0.5868,-0.4396
23.494,-0.5873,-0.4363
23.522,-0.5875,-0.4359
23.552,-0.5841,-0.436
23.582,-0.5821,-0.4355
23.611,-0.584,-0.438
23.646,-0.5848,-0.4382
23.671,-0.5876,-0.4376
23.7,-0.5861,-0.435
23.73,-0.5835,-0.439
23.759,-0.5883,-0.4377
23.789,-0.584,-0.4366
23.819,-0.5875,-0.4385
23.848,-0.5886,-0.439
23.878,-0.588,-0.4369
23.909,-0.5854,-0.4394
23.938,-0.5874,-0.4376
23.968,-0.5861,-0.4379
23.996,-0.5866,-0.4359
24.027,-0.5866,-0.4374
24.057,-0.5847,-0.4378
24.085,-0.5854,-0.438
24.115,-0.5852,-0.4373
24.145,-0.5862,-0.4394
24.174,-0.5851,-0.4367
24.204,-0.5857,-0.4369
24.233,-0.5849,-0.4398
24.263,-0.5825,-0.4381
24.296,-0.5851,-0.4379
24.322,-0.5871,-0.4399
24.353,-0.5891,-0.4364
24.381,-0.586,-0.4388
24.411,-0.5843,-0.4379
24.441,-0.5881,-0.4401
24.47,-0.5857,-0.4387
24.5,-0.5855,-0.4401
24.53,-0.5846,-0.4342
24.559,-0.5828,-0.4383
24.589,-0.5839,-0.4382
24.618,-0.5848,-0.4378
24.65,-0.5854,-0.4376
24.678,-0.5823,-0.437
24.707,-0.589,-0.4377
24.737,-0.587,-0.4357
24.766,-0.5858,-0.4373
24.796,-0.5842,-0.4391
24.826,-0.5873,-0.4376
24.856,-0.5866,-0.436
24.886,-0.5866,-0.4358
24.915,-0.5851,-0.4394
24.944,-0.5849,-0.4396
24.974,-0.5859,-0.4382
25.003,-0.5859,-0.4365
25.033,-0.5862,-0.4382
25.063,-0.5852,-0.4396
25.092,-0.5857,-0.4379
25.122,-0.585,-0.4374
25.152,-0.5876,-0.438
25.182,-0.586,-0.4401
25.211,-0.5853,-0.439
25.241,-0.5852,-0.4387
25.27,-0.5874,-0.4354
25.3,-0.589,-0.4385
25.329,-0.5871,-0.4371
25.359,-0.5881,-0.4334
25.388,-0.5852,-0.4398
25.42,-0.5874,-0.4361
25.448,-0.5866,-0.4365
25.479,-0.587,-0.4376
25.507,-0.5846,-0.4388
25.537,-0.5891,-0.4383
25.566,-0.5873,-0.4391
25.595,-0.5876,-0.4374
25.624,-0.5862,-0.4358
25.655,-0.5896,-0.4378
25.685,-0.5877,-0.4377
